,Res_3_2_phi,Res_3_2_psi,Res_4_3_phi,Res_4_3_psi,Res_5_4_phi,Res_5_4_psi,Res_8_4_phi,Res_8_4_psi,Res_8_4_omega,Res_9_8_phi,Res_9_8_psi,Res_6_5_phi,Res_6_5_psi,Res_7_6_phi,Res_7_6_psi,Res_9_8_phi,Res_9_8_psi,Res_10_9_phi,Res_10_9_psi,Res_11_8_phi,Res_11_8_psi,Res_11_8_omega,Res_12_11_phi,Res_12_11_psi,Res_14_11_phi,Res_14_11_psi
0,-124.7855936303302,-68.85408532772662,-117.69553347673128,-66.81369753364095,120.48710505225986,59.22019734726728,-167.43912498450885,61.194657234819516,167.90289684117073,95.16657285087794,-84.9240382589654,157.8872363740505,-76.18599801595488,-125.03773831391838,-73.18594113009827,95.16657285087794,-84.9240382589654,-160.08328400505488,-92.19586024750333,-149.0359084811991,-88.28478411092097,-162.66681367841886,-105.90101336475045,-74.1126202984602,153.01752461261142,-75.10582950964262
1,-111.67519730433987,-68.44255277296254,-132.7777256826195,-70.34647919667654,113.6776629679876,69.35541074423156,-174.6294799570472,65.3730702488993,-176.49775946261929,111.01738890326502,-89.41205510518196,155.72404764182505,-89.12174667109633,-113.83172453615553,-74.92283200669674,111.01738890326502,-89.41205510518196,-103.80914452845425,-62.96348717553662,-143.3733723356559,-80.67188557662786,176.43088511240552,-114.01247284209505,-73.37474864429673,137.23963526989823,-65.30475432028283
2,-139.42127961658403,-80.28411513611951,-126.84744673230814,-64.05776209517896,138.62356668003042,68.79863015043837,-177.76251843258981,56.529412063768355,176.10656788452275,162.76575927370322,-70.86732254227607,158.61794956644678,-82.06204515630671,-111.70867104401594,-87.78297496269737,162.76575927370322,-70.86732254227607,-95.20808918814929,-67.64510832162286,-132.8853668460115,-73.04149764885702,-164.54757223136593,-99.94616155143082,-72.33612813908407,133.25966513157007,-51.12853893172212
3,-104.23653353913954,-75.83818524783538,-106.61012139350657,-68.32720929130925,111.22506831285207,71.30206830497512,-164.89499838139136,74.11808191077438,154.05697267520358,172.26177294776824,-73.18051351866558,164.41400518192603,-63.977841957633885,-141.4322075988135,-116.47908383198605,172.26177294776824,-73.18051351866558,-104.02593262110553,-65.56054650063227,170.80718175746992,-120.59789799640039,-87.37453573230229,-107.49657353580396,-63.93593199946273,146.63318965923824,-55.46145054456183
4,-113.95553101258054,-75.72042255893115,-130.41446428637082,-65.01501126583625,121.69686027175317,70.06781750969273,-177.88586257344429,69.65531822464636,169.2739511620798,-175.98538374330835,-71.90646989912138,135.7917242252056,-79.43468708200005,-91.5080995812593,-66.09561194766356,-175.98538374330835,-71.90646989912138,-117.30181947455698,-65.98036823077041,168.0405144801338,-83.53322272622526,-84.65649081986085,-110.9061505195914,-65.5644841320372,139.1724770322999,-66.9981810254123
5,-113.78707163769202,-72.71265988764539,-154.31214327575947,-63.336368902979686,165.48493907039355,95.83775798160434,179.9011819503214,64.0591584082042,176.65110216847845,136.07564296351984,-76.93337014409897,158.17327819003478,-82.53527411753241,-129.88543309957973,-67.91921637591267,136.07564296351984,-76.93337014409897,-114.49849289742716,-80.4489357920318,171.75878205328178,-95.35540224450577,-75.11935619244181,-105.95823771691441,-71.95483954663571,135.49567667353543,-69.28481048503025
6,-154.160677047198,-90.32277054927722,-137.58937632229882,-59.44065681787268,135.37887950460586,70.24980035624668,-176.20431436179564,55.47204170174467,-177.15877747067128,156.96368284134306,-79.12760776795248,164.80200332835625,-89.45404537741905,-111.05624942868106,-66.18983906167982,156.96368284134306,-79.12760776795248,-106.5730476754368,-76.47057384968608,-167.7868689364095,-102.94990753593679,-79.4859428426879,-99.03366363004763,-58.7790791207009,141.88868360355616,-60.47493377371641
7,-154.70998711191723,-78.83686480839914,-140.69422390810902,-77.90608426973611,138.08576777207614,58.215258780809556,179.97974418465287,59.139489031939156,-169.56087526422385,144.30883698692736,-81.51696934118696,170.0757865840012,-96.18895916591254,-126.9912145266269,-62.67465205639156,144.30883698692736,-81.51696934118696,-118.25187061486706,-88.41507289213595,-153.5675431553367,-70.51689407975555,-168.1495506846892,-107.93752143196959,-83.52415932686407,136.48908907696728,-87.48900278494153
8,-114.09807460944918,-74.89764971101327,-111.68449635456348,-81.2118591918555,122.44445927970845,64.23059121801018,-165.5318238106568,45.55546808995529,-164.61973288205536,137.9106176344505,-63.75330606771491,156.80782872505335,-93.0432576821039,-107.2424246091078,-67.39266493804936,137.9106176344505,-63.75330606771491,-114.02477857812544,-79.15731337574742,-171.60348759990273,-57.81053699702069,-159.7277919772586,-113.03485759109303,-63.838658932912445,151.0416193010358,-75.39302564076444
9,-155.40300597837089,-91.87327463719504,-120.03757050842736,-80.05163893653595,138.06685570764208,71.91219565954972,-168.38542066091998,57.223955026109834,-169.25201029896283,173.55160703149517,-48.662535735278034,118.85863815044756,-57.41094025968685,-116.26573455065657,-77.29657137958277,173.55160703149517,-48.662535735278034,-131.46584584863436,-66.57013874688582,-156.37421779990993,-59.1147465238964,-154.82399033881262,-101.56985762281516,-80.79315513889591,130.91507139468092,-65.34551638353841
10,-151.1734231321512,-83.10952166456318,-132.04632225501655,-80.65061973604276,120.68498143108388,70.48699749934124,179.05744859244615,70.45053623201402,177.4625638914682,155.90862735038527,-111.11988662428973,156.58198459330072,-84.29171563827516,-119.72250385493514,-70.34381657165903,155.90862735038527,-111.11988662428973,-125.39139457988448,-62.743534971243584,-164.87584581507204,-69.80521976805703,-165.6572861836714,-103.17132774377654,-74.62967911346605,155.68454104464436,-69.77761943910987
11,-107.112591180169,-91.35147531412295,-118.14502967773943,-65.62526109198731,143.97100554182666,67.53044668131834,-175.40992259869077,59.16574013832076,178.7318624300747,147.3035799451576,-87.66761527169949,162.7952499340819,-112.21554727207672,-132.87405107372018,-64.31163143451398,147.3035799451576,-87.66761527169949,-96.53069842384384,-77.62736237653617,-158.41416526985174,-84.89477649781038,-133.81695327076065,-115.8349727119956,-57.49335021107937,138.94143417440014,-82.45894098444714
12,-147.21524648600928,-84.03369047804986,-126.27731799549181,-73.23590852303538,139.089214028534,75.40866499610664,-179.8342177931517,59.052257443464,-168.22185659539187,176.56968749773867,-117.2834154814026,174.4293539833547,-64.62862865353561,-135.72883785367347,-65.61791008657815,176.56968749773867,-117.2834154814026,-126.85948245046174,-80.56000838901645,-157.48584258950126,-64.10755453987538,-173.25876297971325,-111.22397048747486,-66.37327481362482,153.98499776527845,-55.47203687357338
13,-121.60117696525367,-71.82155521869541,-148.27385771384013,-70.76827330825213,132.6397666266368,64.16057810830648,-178.72229312607075,53.724301904596786,173.75733081547284,173.9275802953359,-65.83133292077072,146.08185121770953,-85.56170189086957,-88.51131636269294,-64.90400752245725,173.9275802953359,-65.83133292077072,-116.1921835639365,-72.63290264942711,-171.41421685025404,-136.7891103082777,-84.93727610578506,-119.0312378633801,-51.50436995634708,147.86231655408156,-55.72325324254283
14,-149.13308270089718,-79.8639479463052,-128.1501323565362,-82.30966232553405,156.74836813592307,68.87509871182911,161.61532265663672,61.23022060671461,177.62055106618848,155.9543896341375,-83.37538853785259,176.26121275485116,-78.57861277300829,-102.6233042662778,-80.95396042370807,155.9543896341375,-83.37538853785259,-107.5738728616046,-75.46334496224273,-172.28361972952544,-74.46445820633951,-152.9892025989667,-104.34938274194464,-61.2533179534165,135.3578284210453,-66.10558873286816
15,-130.37538138583955,-87.84817753362286,-106.73845478278939,-74.44454486165291,123.3507949413302,68.96337038801396,-177.0782837331325,88.30065938414283,175.39444955566464,164.5749461755478,-105.390090565907,-176.2349486055673,-79.95845798990452,-119.62304418106001,-69.86060765929804,164.5749461755478,-105.390090565907,-119.78913831010559,-75.04230606217205,-154.64440898880818,-80.59183141182123,-177.27042359916445,-113.06787429249559,-71.30871989080548,125.08990385933426,-71.54463298940608
16,-154.66393973072633,-65.26722272367627,-145.02368619033263,-80.37063700415786,107.47087807036607,69.02462635215032,-174.3526230191523,76.21901829152714,174.857043446252,157.5343638306385,-78.24255786907823,172.33494349083117,-63.29465006259658,-101.58435225693137,-74.56933949287809,157.5343638306385,-78.24255786907823,-140.53118487832737,-76.02580241228311,-162.44024359430057,-92.03362111223912,175.70032310875732,-108.94246748143063,-64.41859003192316,146.35471708049272,-66.76859588829647
17,-146.8552671844017,-82.45195445621387,-123.0719475793538,-79.38099610151083,86.29045277010118,89.64610189612671,179.2761086622666,79.33811965873983,169.30712924549223,157.4398808211153,-90.21771286195957,166.3454848416072,-48.00842629876113,-111.7185552380102,-56.27947262596864,157.4398808211153,-90.21771286195957,-108.19790989132814,-69.16454105128838,-171.61963850008803,-83.49750191333206,-141.03007647193147,-110.0382127770181,-64.15597575232334,146.90880585627664,-66.47615062363266
18,-155.00838352412885,-80.85715805712228,-130.91507793968765,-59.20581488734203,92.8499419498565,64.75189499005985,-178.07598161170358,54.84650720469385,-177.49822928300182,159.98768848627103,-76.98074602356093,169.39863882174873,-71.02607224353459,-98.14272568601355,-64.63556475390415,159.98768848627103,-76.98074602356093,-102.21208616302881,-80.42749559527371,-164.7342581646021,-71.56461870050123,-145.35253278793553,-113.0797551477049,-71.0492917908995,140.02702836073587,-64.56455917120223
19,-120.83614988828707,-60.26992847907985,-120.17650267797359,-73.7552041156363,120.30107840704791,56.85783035401081,-173.36701231263538,64.1185600478809,166.54762034452853,164.06253000825467,-103.84189981966415,156.90815176051063,-51.5387808997917,-121.96624576216567,-76.39760269339158,164.06253000825467,-103.84189981966415,-136.09479474364227,-81.86548350400383,179.44070289305995,-84.90613195175264,-147.35104833597157,-112.74878308770747,-57.120912759644526,141.2587049594642,-90.69792628582341
20,-145.27179001585785,-75.52407123533173,-123.18603217372467,-67.0348711543167,126.8876059851553,76.7053582542467,-165.61082129795955,46.680097046495966,-175.27178064500143,172.7511862939797,-108.23682881085354,156.34740867019815,-86.79014568341594,-136.7057251006212,-78.76853124412979,172.7511862939797,-108.23682881085354,-131.16015434744918,-70.02871687280381,176.57850791093014,-79.88277063388784,-150.5396484354217,-98.56467292756477,-66.65208113961751,137.8146671835384,-63.440645634178345
21,-134.13073925148007,-75.52183758828865,-138.34801019807193,-81.67357554792986,106.73984424913473,64.49042136979561,-170.61304268324568,69.66320302142988,161.8195143124008,177.28305773332008,-66.11080234715175,166.02724715375837,-75.14811626630001,-138.70156693451912,-68.39467343989935,177.28305773332008,-66.11080234715175,-158.1113518077219,-99.55996620750238,-170.83554763664617,-124.1227813400708,-129.16436128049895,-101.8132276074284,-67.56295045038448,142.1365644326684,-52.64256977520927
22,-138.6791615202617,-110.49818102220155,-115.59615598461872,-78.55549778143055,132.69413729236908,75.20658801403279,172.55783718375108,54.031577323122725,172.05153397975488,171.48780208044866,-79.3632288842822,145.76693242956122,-77.99616624119616,-119.37496972041829,-62.32248265454718,171.48780208044866,-79.3632288842822,-119.47864269768453,-66.40724983513815,169.70786196845145,-80.78937694438747,-175.3265031692818,-122.02429766636523,-65.44700666981097,140.42601620981554,-59.211595921358004
23,-134.6614510416325,-73.49515812014026,-130.96062606410723,-80.61223374924276,142.8115289102504,56.30729253876092,175.29789798305072,65.25066266944715,168.12305397315546,168.91647831443765,-96.0163266530359,170.7114731754692,-80.79648296318287,-136.3777144926216,-79.5159230678909,168.91647831443765,-96.0163266530359,-125.3458842586767,-65.72173103103876,154.0165189615221,-83.60088926318973,-173.70349551254077,-106.89529667488144,-70.38887980727927,145.0084881060743,-72.62261254272684
24,-132.79129650191436,-81.38309357355487,-112.82290753411672,-73.90887855557169,140.65561811174203,61.91838974414795,-179.77229681562068,58.667051160495774,171.66224976404467,144.5466039268571,-87.37112467940567,145.89687357246547,-62.907046579501866,-144.96484033664296,-129.36108653590463,144.5466039268571,-87.37112467940567,-129.4049817455687,-78.06243660239953,151.40849737248453,-83.91693891524912,167.74469577298254,-115.52861764176352,-60.33315885140265,135.0873354011773,-60.53280238648565
25,-117.56280861530401,-60.806566003105104,-108.16259054235697,-77.87930927873511,149.48779287387202,65.22066222979612,-158.16809235323626,72.93208084086297,169.01189533289335,131.73387810772684,-96.45533827491762,108.51228425584746,-95.25646913463449,-122.3119280500377,-66.25500294377467,131.73387810772684,-96.45533827491762,-105.22126040181085,-58.050579291716,163.35025023898456,-94.9033791319205,177.36379331036002,-89.33610417928617,-63.94736052631418,135.50397823348374,-58.08133474590705
26,-123.04988893048746,-85.49936106901262,-128.65047233366283,-67.02893154933508,178.81418625910953,86.07339961488353,-174.07228352621232,54.722292667974756,-177.81480806827605,141.16287747610497,-69.86359738177441,176.9361478127564,-91.44976749667927,-127.882335537937,-76.53160725092576,141.16287747610497,-69.86359738177441,-120.67730953811372,-65.84932754918091,167.03230954153574,-84.28908797723632,172.1394713473774,-106.7711263929476,-83.17836811140461,138.70206696834748,-68.45403566007091
27,-125.56763050600243,-73.54856344225449,-119.6743717694257,-68.67966119199001,154.8517274297296,78.75645658839181,-159.21693408001505,59.06994824465922,173.0169467827914,168.29494943822442,-67.40257164724245,170.6558075234885,-70.08941066040286,-108.42288874102694,-67.23106319928458,168.29494943822442,-67.40257164724245,-111.46554741836391,-61.93044902074987,154.5192596216232,-79.616536989849,176.72529861288982,-89.44461888314163,-71.97201968869666,143.47778452336598,-89.12930341277918
28,-112.92611739709844,-91.33108349579585,-118.70922247059322,-72.04088894615877,171.99979607222846,98.72805566789984,-175.23097243813422,76.73176383438144,170.94862941617487,165.93680617507437,-95.08571958405757,172.06657862663099,-58.26931072459448,-116.50305148927184,-68.52648753860215,165.93680617507437,-95.08571958405757,-114.46269834273991,-69.30960353922269,176.99548298124827,-65.9829511618879,-172.3049428475825,-113.30071450988424,-69.69363619982713,148.9771693632091,-77.44026029663769
29,-139.5434726418672,-79.67812180078029,-130.2185269364958,-61.24173017869205,-178.5995770960799,82.75960257287103,175.51154797211865,50.01245102074893,178.8593214973197,145.8410876903231,-79.41352401283851,168.68677112866052,-98.22992537910343,-119.99212750810119,-64.85811116233026,145.8410876903231,-79.41352401283851,-125.22379850387968,-69.13255487514643,-157.35069974570283,-56.77845276832253,-165.974768784692,-95.38705926619991,-56.57589736390942,138.00838616553713,-59.74366942441528
30,-120.4923320213334,-52.997226424955784,-159.18609197777306,-74.60590669418139,-165.34706830140203,89.39727035888296,163.6874492243494,75.86160452097184,176.70839821939165,160.84783043694628,-84.6734292822085,144.44017475653976,-94.46896095473771,-112.5997211818755,-67.57828709185499,160.84783043694628,-84.6734292822085,-117.36789355523749,-60.62675524431808,-156.89920579581704,-71.7967696018623,-162.85161632206697,-115.3266088726374,-75.89405624244807,144.12946145147686,-62.51522657793342
31,-134.05983552079624,-65.60083706057348,-131.9537644738886,-86.54965020513306,169.88766786223985,68.0013312479383,178.69910657729568,54.09583928653216,-165.3042444326884,154.8795770220916,-114.9495411614854,172.28260555563887,-68.92284590469349,-112.17150882069349,-69.85536991332611,154.8795770220916,-114.9495411614854,-130.4249717826525,-67.88375677224089,-175.77788638782957,-70.15773717679778,-157.91983390414887,-105.35289755961492,-58.88454120235411,137.00710786569144,-72.62378057377461
32,-126.61433223687033,-73.64006966613708,-137.26816073089518,-73.50383393229424,123.85700765426249,71.37278569099442,-176.7232435167317,65.69137890020471,-173.46430214191673,132.6619339504797,-78.88487737224008,-145.14601553636183,-69.21396808360772,-133.1500790348246,-81.15785449614543,132.6619339504797,-78.88487737224008,-134.292684556566,-80.26233866186482,-148.8684138489734,-94.06926074732057,-163.97362831544424,-111.32975274493613,-65.25139394790727,140.3947833089018,-76.2521675788438
33,-109.66820771514703,-68.31768568939513,-112.70155046691258,-74.35760035658,131.08898838372045,68.82364976608548,178.6797567402229,59.98347606840413,-179.7716633691812,165.90428608583824,-81.32810411394082,163.9737340183387,-73.05881428128876,-87.31795660959929,-54.90409307532055,165.90428608583824,-81.32810411394082,-105.71604153447039,-60.086609996380396,170.51642429356005,-75.47007726245373,-161.40103327870136,-99.8885604530936,-73.03422440510396,136.65535456022565,-61.85098903872604
34,-128.17769291607735,-77.15185765164343,-126.83719981329162,-67.77026583554614,167.6679489921222,78.14817089934648,-178.47883397745557,64.48036191381651,175.9855208346698,142.83208631595676,-77.34292238539301,-177.8945611346614,-74.92304051172253,-108.32119435366114,-87.38490884108413,142.83208631595676,-77.34292238539301,-107.28733837377261,-65.64344034845453,-156.8600180188886,-69.91002982515381,-156.89789409841688,-118.64564289354372,-64.14539611896245,142.39817887263231,-66.77967905655153
35,-133.43496503636715,-77.38719045217826,-111.95757167232016,-68.64112236162762,170.39200020203364,84.56609813738685,-170.98872338606543,58.484849057440194,179.6378399343271,161.00170145621559,-116.24633051096,171.6005301773163,-59.5581338066368,-109.16919078323916,-71.55167847404175,161.00170145621559,-116.24633051096,-125.30381566535156,-60.77859842376867,-161.90450404382958,-80.71743752513144,-172.52393448627396,-116.43091895217337,-78.15969745397064,133.02176146255545,-56.17317516005611
36,-155.94586566570507,-85.05769649889864,-159.75728298137886,-79.7319794476136,159.11195105917443,80.80311270958266,168.6762177492815,70.16617546159723,-167.96154018584807,158.29257710442923,-67.15795939875176,165.4852389465327,-80.92823284531791,-117.06746969340062,-68.199154870527,158.29257710442923,-67.15795939875176,-119.76122939920526,-67.87320512290589,143.21540091005704,-74.43063221233514,-172.7582244652175,-109.21262253651868,-69.79225026683217,144.58321148843564,-67.67214468243098
37,-125.43055565728592,-92.71254983527258,-115.0408982143898,-81.69850420829543,-171.27609067139278,86.06285549179665,-167.07298985887903,58.14784958691948,170.971644945663,168.0322421633419,-103.04615942175045,165.68333165056816,-100.60333960408278,-104.68823115254743,-77.99497325905389,168.0322421633419,-103.04615942175045,-114.75598380259413,-74.6350222931462,-174.96196949972904,-63.903726769186626,-166.5838920063462,-94.50334142309387,-61.46176522975391,145.8717565589551,-64.67075477994781
38,-126.04408526632238,-75.44284731654454,-111.21779596501133,-85.19613057546105,174.48934947191952,90.396616814447,177.07909330425196,67.01109000167247,172.06875940209218,158.39730882751624,-91.42585713533222,166.27642946277183,-95.97191824832892,-110.62073088225848,-73.4002633228043,158.39730882751624,-91.42585713533222,-126.70600587465833,-72.79599958025477,-153.80872110254452,-68.7325802189173,-178.43897889122698,-91.98273054809601,-73.5494376996665,139.5086818281284,-86.56768895310479
39,-141.6910949846951,-64.41960436169822,-114.2107281932384,-75.24592323606939,146.59855989176367,91.8020025976478,-170.45724355270815,52.939053956153955,-168.81461641862992,170.47033768513657,-98.48490582433641,159.36315737768106,-98.02649157302798,-133.06849702019235,-82.66824851884988,170.47033768513657,-98.48490582433641,-125.40596519079904,-75.80098747014753,-159.98746069267455,-90.28483014612301,-166.7514333681206,-105.87576974211827,-64.43541532911063,142.18658580736005,-71.94768176733245
40,-126.01349018463054,-76.18596237638893,-113.40834799535305,-69.15967352307578,141.1207650258623,70.9829558056259,-159.72139928145606,71.88948929264639,166.09269797224286,140.23010538192307,-113.06458862834594,136.5992663078686,-52.480972139360674,-117.10395849676009,-56.65861265621367,140.23010538192307,-113.06458862834594,-119.00614369960572,-66.78557175241559,-161.82673677404588,-98.55823439482272,-159.67686714216077,-108.85577100815004,-59.03464140983116,142.77259572161103,-74.24323490964782
41,-149.9899625235657,-62.749434962986825,-107.7716329754694,-60.053896133167044,119.09120079607557,69.69097871976338,-175.36593289399008,77.23671989495264,161.18923332426365,141.95936188555683,-67.58340893567637,119.50441104726768,-86.43253730522879,-105.36855398602647,-57.032841420751936,141.95936188555683,-67.58340893567637,-126.69101753439053,-73.7890510706583,-138.71243414632502,-99.35430066607687,-168.99982742163434,-99.34157734232969,-73.67561200320898,141.02353962961325,-53.24738555417323
42,-115.97833648649171,-80.05080028923823,-126.24830213235666,-67.02034901026757,133.75934802508286,64.49700756083651,168.99260101578022,64.60552352406928,-177.43690503917963,164.11864181978802,-61.648707679647075,134.54440799962654,-78.66556825724551,-108.42875822310933,-75.47800339751038,164.11864181978802,-61.648707679647075,-135.46941272140424,-84.18759565852012,-166.1427920174427,-69.14093082763304,-172.1474784522392,-95.78621558283683,-61.86091549094567,133.3974196601442,-79.4960816611653
43,-127.81112046328742,-68.57205999821099,-127.48395466797261,-52.13584995438021,150.76684562852947,64.95008921715493,-176.62350772529248,60.47661155829018,169.28305594202538,157.86297061942787,-72.70408208592356,148.95871121439404,-66.17178039264243,-114.89147997464241,-67.57602700036236,157.86297061942787,-72.70408208592356,-114.61077901440257,-67.59050427311853,-167.04919098943466,-64.6858293473762,-174.10942701867145,-101.35182777940766,-83.81353640791579,143.1636585810946,-58.86545315015222
44,-126.74808064821353,-80.8740370494918,-133.05798411773344,-88.52817940892155,113.18787250476686,70.59547692967429,-177.4488090578659,68.59388600403456,167.51006360397682,161.90963112313332,-83.20489818374695,174.69909548736723,-81.87498686436761,-95.91281903820132,-66.643408068709,161.90963112313332,-83.20489818374695,-116.68488925551264,-62.03131327431588,-142.07599012196602,-89.27803272170702,-179.60111468896892,-100.07253317368776,-72.23590116512247,147.4251424895232,-41.332121715714194
45,-109.03133922541397,-88.81017750848623,-135.2343280926755,-64.18528887724163,132.59218418922623,64.68832350812633,123.05014922655275,54.56566360015239,-172.77855957688527,-176.84314749594688,-84.75166454237127,173.14562438837189,-79.74705707385644,-130.4657935741461,-76.98093670138593,-176.84314749594688,-84.75166454237127,-116.16024482284263,-77.63397258426055,-175.08895092032319,-89.16653241812354,-159.32907863653296,-110.18196853833237,-82.17611140795415,136.4445726900019,-58.370426316248874
46,-168.29716858946188,-71.33506194643307,-121.21870551438684,-63.54268693938512,136.34437255054095,72.96728927436958,-162.47558508003735,61.613174577086305,167.7710647968612,-158.62283152383057,-67.58588149390445,172.99900939734792,-71.42914744129142,-129.50505104743308,-74.16488589708905,-158.62283152383057,-67.58588149390445,-125.62983725849064,-69.10337016162359,-165.59542717457424,-81.42882751385908,-164.8211506556399,-108.27676218264241,-71.916556494532,147.32808518611662,-73.335471936048
47,-124.29487868012173,-82.14640831379653,-137.45550865126853,-116.6264643110909,153.93276834579362,62.33001412829246,-175.88988038564892,67.88240450381238,-169.58295406992488,141.46990801752193,-57.339287121196726,167.22333873902855,-80.22125007875427,-161.21463364098463,-71.72366666171683,141.46990801752193,-57.339287121196726,-117.15142613419033,-66.71932820776112,-158.26468403299464,-79.69573914239031,-166.72683749235873,-104.54866937864671,-62.82745203873466,144.2386309551193,-78.81925376341516
48,-100.98947031489863,-95.96045932995685,-128.226647789359,-73.58754129973322,149.4028599676535,53.36600471581504,-172.38011479322478,55.10153300140677,-173.73747637084224,173.37094862969556,-77.49058260157226,168.1552524191296,-93.68927999864269,-110.36111808385283,-75.75390596173685,173.37094862969556,-77.49058260157226,-179.81563800818952,-73.20709738664465,-159.25196521795152,-74.7732000676711,179.96037583646782,-110.38419713531702,-62.53106183585262,145.83873720913022,-67.08544216647562
49,-132.77676428384373,-91.34482315374954,-148.80163269040952,-75.43055545425199,131.66965053796196,73.10686624073803,144.9156333311923,63.262967659248595,-164.0178992176421,169.6709706586282,-100.94981003922273,161.16937170998287,-77.29693697366821,-118.04425586100683,-89.43598291109892,169.6709706586282,-100.94981003922273,-147.19208816057275,-69.57451197035253,-142.77005751266583,-77.17319824612449,-177.50979216901993,-111.46080768189321,-57.44782314856244,144.34829013785424,-78.35900943733127
